"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2025-01-16"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,
"Age group 8","All ages",,,,,,,
"Geography","2017","2018","2019","2020","2021","2022","2023","2024"
,"Persons",,,,,,,
"Yorkton (CA), Saskatchewan","20,503","20,548","20,626","20,367","20,385","20,344","20,618","21,040"
"Moose Jaw (CA), Saskatchewan","36,266","36,450","36,226","35,993","35,791","35,995","36,729","37,426"
"Swift Current (CA), Saskatchewan","19,189","19,300","19,362","19,259","19,279","19,377","19,573","19,884"
"North Battleford (CA), Saskatchewan","20,476","20,306","20,090","19,889","19,886","19,842","19,858","20,059"
"Prince Albert (CA), Saskatchewan","46,233","46,473","46,966","47,055","47,084","46,901","47,235","47,929"
"Estevan (CA), Saskatchewan","13,736","13,610","13,562","13,297","13,163","13,006","13,069","13,157"
"Weyburn (CA), Saskatchewan","12,486","12,507","12,485","12,541","12,597","12,605","12,705","12,831"
"Lloydminster (CA), Alberta/Saskatchewan","37,636","37,834","37,951","37,737","37,779","37,641","38,157","39,025"
"Lloydminster (CA), Alberta part, Alberta","20,002","20,173","20,313","20,372","20,403","20,325","20,727","21,075"
"Lloydminster (CA), Saskatchewan part, Saskatchewan","17,634","17,661","17,638","17,365","17,376","17,316","17,430","17,950"
"Medicine Hat (CA), Alberta","78,434","78,676","78,781","78,847","78,780","79,051","80,065","81,646"
"Brooks (CA), Alberta","14,826","14,894","15,184","15,403","15,420","15,429","15,828","16,416"
"Okotoks (CA), Alberta","29,949","30,116","30,617","31,042","31,362","31,472","32,098","32,695"
"High River (CA), Alberta","14,125","14,241","14,385","14,524","14,732","14,821","15,285","15,696"
"Strathmore (CA), Alberta","14,097","14,269","14,505","14,618","14,781","14,832","15,106","15,502"
"Canmore (CA), Alberta","14,806","15,164","15,680","16,096","16,617","17,092","17,573","17,929"
"Sylvan Lake (CA), Alberta","15,790","16,103","16,459","16,682","17,144","17,445","17,900","18,352"
"Lacombe (CA), Alberta","13,337","13,514","13,731","13,754","13,789","13,598","13,579","13,697"
"Camrose (CA), Alberta","19,135","19,290","19,331","19,286","19,344","19,382","19,605","19,957"
"Grande Prairie (CA), Alberta","65,096","66,905","67,497","67,514","66,628","66,026","67,811","70,383"
"Wood Buffalo (CA), Alberta","73,834","74,945","76,129","76,919","76,888","76,766","78,498","82,221"
"Wetaskiwin (CA), Alberta","13,023","13,054","13,033","12,942","12,963","12,804","12,785","12,771"
"Cranbrook (CA), British Columbia","27,273","27,534","27,932","28,034","28,197","28,612","29,269","29,810"
"Nelson (CA), British Columbia","19,016","19,192","19,423","19,646","19,877","20,015","20,261","20,371"
"Trail (CA), British Columbia","14,690","14,812","14,860","14,860","15,114","15,166","15,146","15,153"
"Penticton (CA), British Columbia","45,905","46,729","47,564","48,349","48,924","49,426","49,533","49,637"
"Vernon (CA), British Columbia","64,870","65,745","67,009","68,340","69,482","70,964","72,377","73,445"
"Salmon Arm (CA), British Columbia","18,930","19,251","19,665","19,923","20,357","20,643","20,905","21,059"
"Squamish (CA), British Columbia","21,715","22,559","23,543","24,535","25,538","27,670","28,600","29,132"
"Ladysmith (CA), British Columbia","15,285","15,518","15,685","15,800","16,009","16,354","16,451","16,611"
"Duncan (CA), British Columbia","46,968","47,726","48,319","48,724","49,241","49,967","50,254","50,601"
"Parksville (CA), British Columbia","30,453","30,615","30,984","31,262","31,767","32,101","32,323","32,498"
"Port Alberni (CA), British Columbia","25,674","25,909","26,183","26,401","26,726","27,091","27,324","27,679"
"Courtenay (CA), British Columbia","61,261","62,506","63,577","64,411","65,519","66,793","68,300","69,672"
"Campbell River (CA), British Columbia","40,006","40,711","41,266","41,722","42,231","43,175","43,421","43,721"
"Powell River (CA), British Columbia","17,518","17,718","17,869","18,107","18,381","18,650","18,852","19,018"
"Williams Lake (CA), British Columbia","23,942","24,153","24,285","24,378","24,532","24,883","25,029","25,059"
"Quesnel (CA), British Columbia","24,034","24,188","24,210","24,038","24,000","23,948","24,077","24,225"
"Prince Rupert (CA), British Columbia","13,970","14,002","14,043","14,039","14,181","14,118","14,122","14,087"
"Terrace (CA), British Columbia","19,795","19,949","20,153","20,378","20,496","20,738","21,215","21,766"
"Prince George (CA), British Columbia","91,494","92,729","93,530","94,041","93,542","94,767","96,931","98,808"
"Dawson Creek (CA), British Columbia","19,468","19,328","19,203","18,893","18,724","19,082","19,636","20,140"
"Fort St. John (CA), British Columbia","29,863","30,117","30,161","30,162","30,216","30,117","30,385","30,979"
"Whitehorse (CA), Yukon","31,123","31,835","32,498","33,332","34,233","35,235","36,743","38,000"
"Yellowknife (CA), Northwest Territories","21,169","21,286","21,491","21,658","21,904","22,147","22,481","22,735"
"All areas outside census metropolitan areas and census agglomerations, Canada","5,966,602","6,004,589","6,044,335","6,086,415","6,149,965","6,216,769","6,275,389","6,330,166"
"Area outside census metropolitan areas and census agglomerations, Newfoundland and Labrador","255,003","252,910","250,894","248,879","248,066","247,412","246,609","245,885"
"Area outside census metropolitan areas and census agglomerations, Prince Edward Island","55,937","56,461","57,536","58,772","59,978","61,487","63,207","64,284"
"Area outside census metropolitan areas and census agglomerations, Nova Scotia","298,342","299,639","301,269","303,227","305,812","310,351","314,644","317,496"
"Area outside census metropolitan areas and census agglomerations, New Brunswick","286,453","286,563","287,844","288,715","290,590","295,046","298,252","301,212"
"Area outside census metropolitan areas and census agglomerations, Quebec","1,507,332","1,514,250","1,520,763","1,535,803","1,561,639","1,583,448","1,602,659","1,620,647"
"Area outside census metropolitan areas and census agglomerations, Ontario","1,412,097","1,430,501","1,448,821","1,466,061","1,489,276","1,512,895","1,525,409","1,536,301"
"Area outside census metropolitan areas and census agglomerations, Manitoba","382,723","385,958","390,121","393,288","396,616","399,592","402,787","406,445"
"Area outside census metropolitan areas and census agglomerations, Saskatchewan","397,570","397,227","397,103","396,475","396,526","396,616","398,138","400,221"
"Area outside census metropolitan areas and census agglomerations, Alberta","783,459","785,394","787,601","787,605","787,104","788,474","796,215","807,285"
"Area outside census metropolitan areas and census agglomerations, British Columbia","518,133","525,546","531,904","536,639","542,869","549,839","555,849","558,531"
"Area outside census metropolitan areas and census agglomerations, Yukon","8,410","8,568","8,689","8,626","8,728","8,665","8,720","8,704"
"Area outside census metropolitan areas and census agglomerations, Northwest Territories","23,487","23,250","22,951","22,846","22,675","22,487","22,200","21,996"
"Area outside census metropolitan areas and census agglomerations, Nunavut","37,656","38,322","38,839","39,479","40,086","40,457","40,700","41,159"
"All census metropolitan areas and census agglomerations, Newfoundland and Labrador","274,739","275,492","276,749","278,005","278,990","283,896","292,298","299,362"
